Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-1;HII;15:58:51.20;-26:07:13.9;;150;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 1; Sh 2-1; S1";;"form: irregular; struct: intermediate; bright: 3/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-2;HII;17:04:06.62;-38:08:33.0;;60;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 2; Sh 2-2; S2";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-3;HII;17:13:45.03;-38:30:11.2;;12;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 3; Sh 2-3; S3";;"form: elliptical; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-4;HII;17:19:48.78;-39:20:19.5;;5;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 4; Sh 2-4; S4";;"form: elliptical; struct: filamentary; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-5;HII;17:20:03.47;-38:27:17.2;;100;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 5; Sh 2-5; S5";;"form: irregular; struct: intermediate; bright: 2/3; stars: 9";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-6;HII;17:15:04.11;-37:06:59.6;;4;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 6; Sh 2-6; S6";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-7;HII;16:00:19.76;-22:57:02.3;;240;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 7; Sh 2-7; S7";;"form: irregular; struct: intermediate; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-8;HII;17:21:24.84;-36:02:04.9;;120;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 8; Sh 2-8; S8";;"form: irregular; struct: filamentary; bright: 3/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-9;HII;16:21:10.89;-25:35:22.0;;80;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 9; Sh 2-9; S9";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-10;HII;17:19:00.01;-34:05:25.1;;60;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 10; Sh 2-10; S10";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
